Company Name,SCM Practices,Supplier Count,Inventory Turnover Ratio,Lead Time (days),Order Fulfillment Rate (%),Customer Satisfaction (%),Technology Utilized,Environmental Impact Score,Supply Chain Agility,Supplier Lead Time Variability (days),Inventory Accuracy (%),Transportation Cost Efficiency (%),Supply Chain Integration Level,Sustainability Practices,Supply Chain Complexity Index,Cost of Goods Sold (COGS),Operational Efficiency Score,Revenue Growth Rate out of (15),Supply Chain Risk (%),Supplier Collaboration Level,Supply Chain Resilience Score,Supplier Relationship Score,Total Implementation Cost,
Cardinal Health,Agile SCM,200,10,7,99,91,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90,"$101,164,454 ",
McKesson,Lean Manufacturing,300,5.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$102,932,339 ",
AmerisourceBergen,Vendor Managed Inventory,100,3.5,12,91,93,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$24,947,745 ",
Henry Schein,Agile SCM,250,8.2,7,98,88,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$55,174,260 ",
Owens & Minor,Sustainable SCM,"20,000",5.2,11,90,93,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$15,421,041 ",
Patterson Companies,Vendor Managed Inventory,150,7,9,92,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85,"$3,699,392 ",
Cerner,Just-In-Time,"1,300,000",5.5,2,98,89,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,"$67,227,699 ",
Allscripts,Lean Manufacturing,200,6,15,91,91,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,"$105,995,957 ",
Epic Systems,Agile SCM,200,6,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,"$72,073,915 ",
McKesson Technology Solutions,Demand-Driven SCM,500,10,10,92,90,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,"$71,275,365 ",
Optum,Agile SCM,150,8.3,10,92,92,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$59,387,254 ",
Athenahealth,Agile SCM,250,6,9,93,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$14,421,669 ",
Meditech,Agile SCM,300,5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,"$38,334,883 ",
NextGen Healthcare,Cross-Docking,"100,000",7.5,2,98,90,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85,"$94,555,919 ",
eClinicalWorks,Agile SCM,200,6,10,92,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$97,935,969 ",
Greenway Health,Lean Manufacturing,"10,000",6,15,91,91,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$86,343,265 ",
CPSI,Just-In-Time,"1,000,000",4,3,97,90,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88,"$103,326,343 ",
GE Centricity,Agile SCM,200,4.2,12,91,91,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,"$54,564,055 ",
Siemens Soarian,Demand-Driven SCM,300,4.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$57,658,083 ",
IBM Watson Health,Vendor Managed Inventory,150,5,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$40,201,138 ",
Philips Wellcentive,Vendor Managed Inventory,100,4.5,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$38,720,112 ",
Change Healthcare,Vendor Managed Inventory,100,4,10,90,87,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$70,286,690 ",
Inovalon,Lean Manufacturing,300,5,22,89,88,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,"$46,321,409 ",
Cognizant TriZetto,Lean Manufacturing,400,5.8,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,"$80,197,727 ",
Orion Health,Lean Manufacturing,400,5.5,18,88,85,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$99,223,554 ",
Practice Fusion,Lean Manufacturing,300,4,18,87,92,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$56,996,737 ",
Zocdoc,Agile SCM,150,7.7,10,93,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$105,996,449 ",
Doximity,Lean Manufacturing,500,9,14,90,89,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,"$71,209,538 ",
Teladoc Health,Lean Manufacturing,1200,2,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,"$109,843,648 ",
American Well,Agile SCM,359,1,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,"$43,369,429 ",
MDLive,Sustainable SCM,459,7,4,95,88,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,80,12,5,High,90,85,"$271,837 ",
Doctor on Demand,Agile SCM,876,8,15,95,91,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,78,8,12,Medium,88,85,"$68,574,554 ",
Livongo Health,Lean Manufacturing,655,5,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$50,234,073 ",
Omada Health,Agile SCM,4444,5.8,8,94,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,"$1,983,510 ",
Proteus Digital Health,Demand-Driven SCM,433,4,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$81,200,126 ",
Pear Therapeutics,Agile SCM,12000,4,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,85,10,7,High,90,85,"$2,235,001 ",
Akili Interactive,Lean Manufacturing,300,6,5,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,85,11,5,High,90,85,"$68,979,793 ",
Happify Health,Agile SCM,200,4.5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$60,736,973 ",
WellDoc,Lean Manufacturing,"20,000",6.5,10,92,87,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,"$55,395,427 ",
BioTelemetry,Agile SCM,500,6,8,94,93,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,85,12,7,High,90,85,"$7,102,174 ",
iRhythm Technologies,Lean Manufacturing,100,4.2,20,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,80,9,12,Medium,85,80,"$21,200,097 ",
Insulet,Vendor Managed Inventory,200,4.5,7,98,92,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$85,241,612 ",
Tandem Diabetes Care,Efficient Consumer Response,"20,000",10,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$58,114,586 ",
Senseonics,Sustainable SCM,400,6.2,9,93,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$63,981,207 ",
Dexcom,Lean Manufacturing,"1,500",4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$43,381,574 ",
Invitae,Agile SCM,200,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$56,294,784 ",
23andMe,Lean Manufacturing,500,6,10,90,88,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,82,11,8,High,87,85,"$59,994,989 ",
Myriad Genetics,Agile SCM,300,5,12,88,89,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,75,8,15,Medium,80,78,"$85,382,257 ",
Illumina,Demand-Driven SCM,500,5.2,12,89,88,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$34,045,505 ",
Guardant Health,Lean Manufacturing,250,4.2,12,90,90,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,80,9,8,High,88,85,"$89,583,550 ",
Tesla,Agile SCM,300,4.2,14,90,91,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,"$2,976,243 ",
Toyota,Vendor Managed Inventory,250,5.8,10,92,87,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,"$66,401,386 ",
General Motors,Vendor Managed Inventory,"10,000",4,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$56,755,037 ",
Ford,Agile SCM,100,10,14,88,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,80,10,10,Medium,85,80,"$88,917,676 ",
Honda,Agile SCM,"75,000",4,8,94,88,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,"$33,255,877 ",
BMW,Sustainable SCM,"70,000",6,11,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$11,326,238 ",
Mercedes-Benz,Vendor Managed Inventory,100,5.2,10,90,92,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$23,705,257 ",
Audi,Just-In-Time,200,6,11,90,88,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,85,10,8,High,88,85,"$62,134,784 ",
Volkswagen,Vendor Managed Inventory,500,50,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$35,703,248 ",
Nissan,Lean Manufacturing,300,6.2,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$64,356,139 ",
Hyundai,Lean Manufacturing,300,4.2,12,91,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$84,729,604 ",
Kia,Lean Manufacturing,500,10,2,98,85,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,"$4,545,584 ",
Subaru,Vendor Managed Inventory,400,5.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$36,805,731 ",
Volvo,Agile SCM,150,3.5,18,87,85,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$84,673,575 ",
Land Rover,Vendor Managed Inventory,100,8.2,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$106,406,363 ",
Jaguar,Agile SCM,200,5.2,18,88,90,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$44,738,554 ",
Mazda,Agile SCM,150,7,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$43,750,191 ",
Mitsubishi,Lean Manufacturing,"20,000",5.5,10,92,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$104,263,162 ",
Porsche,Lean Manufacturing,100,6,10,90,90,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$40,711,153 ",
Ferrari,Agile SCM,"1,300,000",6,10,92,85,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,85,11,8,High,88,85,"$46,673,571 ",
Lamborghini,Lean Manufacturing,200,10,10,92,88,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$89,178,976 ",
Bugatti,Vendor Managed Inventory,300,8.3,20,88,94,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,"$107,570,023 ",
Rolls-Royce,Lean Manufacturing,100,6,18,90,91,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,"$50,441,205 ",
Bentley,Demand-Driven SCM,400,5,7,98,89,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,"$36,258,671 ",
Aston Martin,Lean Manufacturing,150,7.5,10,93,87,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$60,995,761 ",
Maserati,Sustainable SCM,150,6,12,91,91,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$84,890,727 ",
McLaren,Lean Manufacturing,100,6,22,89,89,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,"$66,385,641 ",
Koenigsegg,Vendor Managed Inventory,300,4,10,94,88,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$95,875,022 ",
Rimac,Lean Manufacturing,150,4.2,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$34,109,027 ",
Lucid Motors,Vendor Managed Inventory,500,4.5,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$57,681,018 ",
Rivian,Agile SCM,400,5,20,88,88,"ERP, AI, Robotics",,Medium,5,96,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,80,"$7,971,380 ",
Fisker,Lean Manufacturing,300,4.5,12,91,90,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$43,669,392 ",
NIO,Agile SCM,300,4,12,89,93,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,80,10,10,Medium,85,80,"$107,147,828 ",
Xpeng Motors,Sustainable SCM,100,5,11,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$102,867,961 ",
Li Auto,Lean Manufacturing,300,5.8,7,98,90,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$80,768,648 ",
Faraday Future,Agile SCM,300,5.5,18,88,88,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$36,433,623 ",
Canoo,Lean Manufacturing,"10,000",4,12,91,85,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,"$102,310,008 ",
Lordstown Motors,Vendor Managed Inventory,"20,000",7.7,11,90,94,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$101,338,807 ",
Nikola,Agile SCM,500,5,14,90,91,"ERP, JIT, Robotics",,High,5,98,85,High,Advanced,Medium,$700B,80,10,10,Medium,85,80,"$20,279,847 ",
Proterra,Sustainable SCM,200,5.8,7,99,89,"AI, ERP, Blockchain",,High,2,98,92,High,Advanced,Low,$1200B,88,15,3,High,95,90,"$92,406,062 ",
Arrival,Vendor Managed Inventory,100,4,10,93,93,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$25,301,055 ",
BYD,Just-In-Time,150,4,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$106,777,087 ",
Geely,Lean Manufacturing,250,6,7,98,93,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,88,12,3,High,95,90,"$74,583,312 ",
Changan,Agile SCM,400,4.5,11,90,92,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$39,449,977 ",
Great Wall Motors,Demand-Driven SCM,200,6.5,9,92,89,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$800B,85,12,8,High,88,85,"$34,119,118 ",
SAIC Motor,Agile SCM,"20,000",6,2,98,91,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",85,20,5,High,90,85,"$7,734,103 ",
FAW Group,Agile SCM,500,4.2,15,91,90,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,80,10,12,Medium,85,85,"$18,727,584 ",
Dongfeng Motor,Agile SCM,200,4.5,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,"$97,148,567 ",
BAIC Group,Cross-Docking,300,10,10,92,92,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,80,12,8,High,89,85,"$15,734,210 ",
Tata Motors,Agile SCM,100,6.2,10,92,94,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$16,689,089 ",
Mahindra & Mahindra,Lean Manufacturing,250,4.2,9,93,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$21,351,510 ",
Hero MotoCorp,Just-In-Time,"20,000",5,7,98,90,"AI, ERP, Blockchain",,High,1,98,92,High,Advanced,High,$1500B,90,12,3,High,95,90,"$4,345,761 ",
Bajaj Auto,Agile SCM,150,6,2,98,89,"AI, ERP, Blockchain",,High,1,98,90,High,Advanced,High,$500B,80,12,5,High,90,85,"$89,482,492 ",
TVS Motor Company,Demand-Driven SCM,"1,300,000",5,10,92,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$86,641,504 ",
Piaggio,Vendor Managed Inventory,200,5.2,15,91,90,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,80,10,10,Medium,85,80,"$23,234,511 ",
Suzuki,Vendor Managed Inventory,200,4.2,3,97,91,"AI, Robotics, Blockchain",,High,1,98,90,High,Advanced,High,"$1,200B",85,18,5,High,90,88,"$61,136,439 ",
Yamaha,Vendor Managed Inventory,500,4.2,12,91,90,"ERP, AI, Blockchain",,High,3,97,85,High,Advanced,Medium,$800B,85,11,10,High,88,85,"$5,130,398 ",
Kawasaki,Lean Manufacturing,150,5.8,10,94,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$17,028,709 ",
Harley-Davidson,Lean Manufacturing,250,4,11,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$44,196,735 ",
Indian Motorcycle,Lean Manufacturing,300,10,12,91,87,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$81,121,403 ",
Polaris,Lean Manufacturing,"100,000",4,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$21,498,556 ",
BRP Inc.,Agile SCM,200,6,22,89,85,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,85,9,15,Medium,85,80,"$75,356,617 ",
Zero Motorcycles,Lean Manufacturing,"10,000",5.2,18,90,85,"ERP, AI, Robotics",,High,5,97,85,High,Advanced,Medium,$900B,85,11,10,Medium,85,85,"$104,436,259 ",
Energica,Agile SCM,"1,000,000",6,18,88,92,"ERP, JIT, Robotics",,High,5,95,85,High,Advanced,Medium,$700B,80,10,12,Medium,85,80,"$45,932,659 ",
Lightning Motorcycles,Lean Manufacturing,200,50,18,87,88,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,80,9,15,Medium,85,80,"$97,117,136 ",
Damon Motorcycles,Cross-Docking,300,6.2,10,93,89,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,85,10,8,High,90,85,"$44,054,179 ",
Zapp Scooters,Agile SCM,150,4.2,14,90,90,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,85,9,12,Medium,85,85,"$61,864,220 ",
Gogoro,Lean Manufacturing,100,10,8,94,90,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85,"$4,848,288 ",
Ather Energy,Agile SCM,100,5.2,15,91,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$800B,81,10,12,Medium,85,85,"$31,725,527 ",
Ola Electric,Sustainable SCM,300,3.5,4,95,91,"AI, ERP, Blockchain",,High,1,98,88,High,Advanced,High,$300B,85,12,5,High,90,85,"$28,267,185 ",
Bounce,Agile SCM,400,8.2,15,95,88,"ERP, AI, Blockchain",,High,10,95,80,High,Advanced,Medium,$1000B,85,8,12,Medium,88,85,"$48,715,258 ",
Lime,Lean Manufacturing,400,5.2,12,89,91,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,"$105,797,504 ",
Bird,Agile SCM,300,7,8,94,89,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$600B,85,12,7,High,90,85,"$98,129,092 ",
Spin,Demand-Driven SCM,150,5.5,11,90,90,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$75,415,326 ",
Tier Mobility,Agile SCM,500,6,9,93,90,"ERP, AI, Blockchain",,High,2,97,88,High,Advanced,Medium,$700B,80,10,7,High,90,85,"$87,927,857 ",
Voi Technology,Lean Manufacturing,300,6,5,93,91,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$500B,80,11,5,High,90,85,"$18,877,238 ",
Bolt Mobility,Agile SCM,200,10,10,92,87,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$800B,85,10,8,High,90,85,"$102,400,392 ",
Segway-Ninebot,Lean Manufacturing,"20,000",8.3,10,92,93,"ERP, AI, Blockchain",,High,4,98,85,High,Advanced,Medium,$500B,85,12,8,High,89,85,"$49,160,572 ",
Unagi Scooters,Agile SCM,500,6,8,94,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,Medium,$700B,82,12,7,High,90,85,"$60,361,506 ",
Boosted,Lean Manufacturing,100,5,20,89,92,"ERP, AI, Blockchain",,Medium,5,96,85,Medium,Advanced,Medium,$900B,81,9,12,Medium,85,80,"$68,532,151 ",
Acton,Vendor Managed Inventory,200,7.5,7,98,89,"ERP, AI, Blockchain",,High,1,98,90,High,Advanced,High,$1200B,85,12,3,High,95,90,"$73,506,851 ",
Swagtron,Efficient Consumer Response,"20,000",6,18,87,89,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,"$14,650,272 ",
Razor,Sustainable SCM,400,6,9,93,85,"ERP, AI, Blockchain",,High,2,98,90,High,Advanced,High,$900B,85,11,8,High,91,85,"$46,787,764 ",
Yadea,Lean Manufacturing,"1,500",4,15,91,85,"ERP, AI, Blockchain",,Medium,5,95,85,Medium,Advanced,Medium,$300B,85,10,10,Medium,85,80,"$107,991,438 ",
Niu Technologies,Agile SCM,200,4.2,12,91,88,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$43,167,706 ",
ElectraMeccanica,Lean Manufacturing,500,4.5,10,90,89,"ERP, AI, Blockchain",,High,5,96,85,High,Advanced,Medium,$350B,80,11,8,High,87,85,"$73,619,290 ",
Arcimoto,Agile SCM,300,5,12,88,88,"AI, ERP, Blockchain",,Medium,4,97,80,Medium,Advanced,Medium,$400B,80,8,15,Medium,80,78,"$66,360,177 ",
Aptera,Demand-Driven SCM,500,4.5,12,89,90,"ERP, AI, Robotics",,High,4,97,85,High,Advanced,Medium,$400B,85,10,10,Medium,85,80,"$102,077,763 ",
Sono Motors,Lean Manufacturing,250,4,12,90,91,"ERP, AI, Blockchain",,High,4,97,85,High,Advanced,Medium,$700B,85,9,8,High,88,85,"$107,603,002 ",
Lightyear,Agile SCM,300,5,14,90,87,"ERP, AI, Blockchain",,Medium,4,97,85,Medium,Advanced,Medium,$800B,82,9,12,Medium,85,85,"$12,842,660 ",
Fisker,Vendor Managed Inventory,250,5.8,10,92,89,"ERP, AI, Blockchain",,High,2,97,85,High,Advanced,Medium,$800B,81,11,8,High,88,85,"$104,703,776 ",
Karma Automotive,Vendor Managed Inventory,"10,000",5.5,10,94,90,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,High,$500B,85,12,7,High,90,85,"$13,021,574 ",
Lotus Cars,Agile SCM,100,4,14,88,88,"ERP, AI, Robotics",,High,5,97,85,Medium,Advanced,Medium,$500B,85,10,10,Medium,85,80,"$91,499,350 ",
TVR,Agile SCM,"75,000",7.7,8,94,89,"ERP, AI, Blockchain",,High,2,98,85,High,Advanced,Medium,$800B,85,10,5,High,90,85,"$106,683,174 ",
Pininfarina,Sustainable SCM,"70,000",9,11,91,92,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$600B,85,11,10,High,88,85,"$91,693,394 ",
Italdesign,Vendor Managed Inventory,100,2,10,90,88,"ERP, AI, Blockchain",,High,3,98,88,High,Advanced,Low,$700B,85,11,8,High,88,85,"$96,319,576 ",
Magna International,Just-In-Time,200,1,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$600B,80,10,8,High,88,85,"$42,489,278 ",
Continental AG,Vendor Managed Inventory,500,7,10,93,92,"ERP, AI, Blockchain",,High,2,98,88,High,Advanced,Medium,$800B,80,10,8,High,90,85,"$49,114,108 ",
Bosch,Lean Manufacturing,300,8,11,90,89,"ERP, AI, Blockchain",,High,4,97,88,High,Advanced,Medium,$400B,85,9,10,High,87,80,"$42,058,335 ",
Denso,Lean Manufacturing,300,5,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,85,11,10,High,88,85,"$55,553,465 ",
ZF Friedrichshafen,Lean Manufacturing,500,5.8,2,98,88,"AI, Robotics, Blockchain",,High,1,99,88,High,Advanced,High,"$1,500B",82,20,5,High,90,85,"$87,580,057 ",
Valeo,Vendor Managed Inventory,400,4,12,91,85,"ERP, AI, Blockchain",,High,3,99,88,High,Advanced,Low,$700B,81,11,10,High,88,85,"$106,322,093 ",
Aisin Seiki,Agile SCM,150,4,18,87,90,"ERP, AI, Robotics",,Medium,6,95,85,Medium,Advanced,Medium,$500B,85,9,15,Medium,85,80,"$49,905,867 ",
